index	plane	u	v	itype	x0	y0	irot	nvertices	vx_0	vy_0	vx_1	vy_1	vx_2	vy_2	vx_3	vy_3	vx_4	vy_4	vx_5	vy_5	vx_6	vy_6	icassette	trigRate	trigLinks	dataRate_ld	dataLinks_ld	dataRate_hd	dataLinks_hd	MB	wagon	isEngine	nROCs	power	mrot	phi	HDorLD	hash	hash_hdld	isSiPM	engine_trig_fibres	engine_data_fibres	engine_ctrl_fibres	dataPp0	trigPp0	dataPp0_type	trigPp0_type	dataPp1	trigPp1	dataPp1_type	trigPp1_type	dataPp2	DAQ
8	1	2	0	gIe	339.38	2.37	3	6	339.4	99.2	320.4	88.2	320.4	-83.5	339.4	-94.4	423.2	-46	423.2	50.8	339.4	99.2	1	6.631	7	3.184	4	3.184	4	0	0	FALSE	6	7.2	0	0.4	1	102000	102001	0	3	2	2	PP0(CE-)L1/C01_FO_1_2	PP0(CE-)L1/C01_FO_2_2	A	A	PP1(CE-)5_FO_1_2	PP1(CE-)3_FO_2_2	Ap	Ap	PPFO(CE-)X5_10	DAQ_1_7
18	1	3	0	FI	507.02	2.37	3	6	507	-94.4	590.8	-46	590.8	50.7	507	99.2	423.2	50.7	423.2	-46	507	-94.4	1	5.997	7	2.442	3	2.764	3	0	0	FALSE	6	7.2	0	0.268	1	103000	103001	0	3	2	2	PP0(CE-)L1/C01_FO_1_2	PP0(CE-)L1/C01_FO_2_2	A	A	PP1(CE-)5_FO_1_2	PP1(CE-)3_FO_2_2	Ap	Ap	PPFO(CE-)X5_10	DAQ_1_7
29	1	4	0	FI	674.66	2.37	3	6	674.7	-94.4	758.5	-46	758.5	50.7	674.7	99.2	590.8	50.7	590.8	-46	674.7	-94.4	1	4.185	5	1.738	2	1.808	2	0	0	TRUE	6	7.2	0	0.201	1	104000	104001	0	3	2	2	PP0(CE-)L1/C01_FO_1_2	PP0(CE-)L1/C01_FO_2_2	A	A	PP1(CE-)5_FO_1_2	PP1(CE-)3_FO_2_2	Ap	Ap	PPFO(CE-)X5_10	DAQ_1_7
9	1	2	1	dIeL	255.56	147.55	3	5	255.6	244.3	236.6	233.4	320.4	88.2	339.4	99.2	339.4	195.9	255.6	244.3	0	0	1	4.57	5	1.757	2	1.757	2	1	0	FALSE	3	3.6	0	30	1	102010	102011	0	4	2	2	PP0(CE-)L1/C01_FO_1_2	PP0(CE-)L1/C01_FO_2_3	A	B	PP1(CE-)5_FO_1_2	PP1(CE-)3_FO_2_3	Ap	Ap	PPFO(CE-)X5_10	DAQ_1_7
19	1	3	1	FI	423.2	147.55	3	6	423.2	50.7	507	99.2	507	195.9	423.2	244.4	339.4	195.9	339.4	99.2	423.2	50.7	1	7.039	8	2.84	3	3.391	4	1	0	FALSE	6	7.2	0	19.221	1	103010	103011	0	4	2	2	PP0(CE-)L1/C01_FO_1_2	PP0(CE-)L1/C01_FO_2_3	A	B	PP1(CE-)5_FO_1_2	PP1(CE-)3_FO_2_3	Ap	Ap	PPFO(CE-)X5_10	DAQ_1_7
30	1	4	1	FI	590.84	147.55	3	6	590.8	50.7	674.7	99.2	674.7	195.9	590.8	244.4	507	195.9	507	99.2	590.8	50.7	1	4.835	5	1.971	3	2.086	3	1	0	FALSE	6	7.2	0	14.022	1	104010	104011	0	4	2	2	PP0(CE-)L1/C01_FO_1_2	PP0(CE-)L1/C01_FO_2_3	A	B	PP1(CE-)5_FO_1_2	PP1(CE-)3_FO_2_3	Ap	Ap	PPFO(CE-)X5_10	DAQ_1_7
41	1	5	1	FI	758.48	147.55	3	6	758.5	50.7	842.3	99.2	842.3	195.9	758.5	244.4	674.7	195.9	674.7	99.2	758.5	50.7	1	3.425	4	1.484	2	1.512	2	1	0	TRUE	6	7.2	0	11.008	1	105010	105011	0	4	2	2	PP0(CE-)L1/C01_FO_1_2	PP0(CE-)L1/C01_FO_2_3	A	B	PP1(CE-)5_FO_1_2	PP1(CE-)3_FO_2_3	Ap	Ap	PPFO(CE-)X5_10	DAQ_1_7
20	1	3	2	FI	339.38	292.73	4	6	339.4	195.9	423.2	244.4	423.2	341.2	339.4	389.5	255.6	341.2	255.6	244.4	339.4	195.9	1	7.044	8	2.841	3	3.392	4	2	0	FALSE	6	7.2	0	40.779	1	103020	103021	0	3	2	2	PP0(CE-)L1/C01_FO_1_3	PP0(CE-)L1/C01_FO_2_2	C	A	PP1(CE-)5_FO_1_3	PP1(CE-)3_FO_2_2	Ap	Ap	PPFO(CE-)X5_8	DAQ_1_6
32	1	4	3	FI	423.2	437.9	4	6	423.2	341.2	507	389.5	507	486.3	423.2	534.7	339.4	486.3	339.4	389.5	423.2	341.2	1	4.799	5	1.971	3	2.087	3	2	0	FALSE	6	7.2	0	45.978	1	104030	104031	0	3	2	2	PP0(CE-)L1/C01_FO_1_3	PP0(CE-)L1/C01_FO_2_2	C	A	PP1(CE-)5_FO_1_3	PP1(CE-)3_FO_2_2	Ap	Ap	PPFO(CE-)X5_8	DAQ_1_6
44	1	5	4	FI	507.02	583.09	4	6	507	486.3	590.8	534.7	590.8	631.5	507	679.9	423.2	631.5	423.2	534.7	507	486.3	1	3.419	4	1.479	2	1.507	2	2	0	TRUE	6	7.2	0	48.992	1	105040	105041	0	3	2	2	PP0(CE-)L1/C01_FO_1_3	PP0(CE-)L1/C01_FO_2_2	C	A	PP1(CE-)5_FO_1_3	PP1(CE-)3_FO_2_2	Ap	Ap	PPFO(CE-)X5_8	DAQ_1_6
